primary_publisher,game_count,review_score,avg_owners_mid,avg_language_count,avg_positive_review_ratio,avg_active_users_rate,recent_release_count,avg_price,total_est_revenue,avg_est_revenue_per_game,max_single_game_revenue,recent_release_ratio,avg_owners_mid_norm,avg_language_count_norm,game_count_norm,recent_release_count_norm,avg_active_users_rate_norm
Bennaction,14,,10000.0,2.0,,0.0,0,689.0,96460000.0,6890000.0,6890000.0,0.0,0.0,0.23654604285595657,0.08080161612582903,0.0,0.07659313725490197
Best Place Apps,10,7.5,12500.0,3.6,0.8837301587301587,5.5714285714285715e-05,8,611.0,78325000.0,7832500.0,24115000.0,0.8,0.02858406286464565,0.32858050423300444,0.0,0.4543210299999297,0.6004901960784313
Bethesda Softworks,66,6.953846153846154,2190984.8484848486,7.121212121212121,0.7844858344598572,0.00027178080808080805,5,1999.1475409836066,322413985000.0,5285475163.934426,34650000000.0,0.07575757575757576,0.690431687624078,0.45096966739634065,0.4707071604985814,0.370482842750058,0.8774509803921569
Big Ant Studios,14,6.444444444444445,40000.0,2.142857142857143,0.7863115678845352,0.0001835374149659864,0,1731.5714285714287,1701065000.0,121504642.85714285,749850000.0,0.0,0.17758672692060065,0.24656242964275638,0.08080161612582903,0.0,0.8198529411764706
Big Fish Games,510,6.557894736842106,12313.725490196079,1.1568627450980393,0.8193206092053517,2.9294117647058824e-05,71,932.321063394683,5583895000.0,11419008.1799591,74925000.0,0.1392156862745098,0.026660780069754846,0.16550173096114604,1.0,0.8842880132502091,0.4963235294117647
Bitlock Studio,37,5.172413793103448,32837.83783783784,1.1081081081081081,0.5336410293850579,2.393822393822394e-05,0,192.78378378378378,187735000.0,5073918.918918919,34650000.0,0.0,0.15231183856823116,0.16057884235869224,0.32296448651661164,0.0,0.4583333333333333
Black Hole,15,6.2727272727272725,10000.0,10.8,0.7266850532979565,1.3333333333333333e-05,2,195.0,29250000.0,1950000.0,2990000.0,0.13333333333333333,0.0,0.5314151166577962,0.09761520293164012,0.22716051499996484,0.3633578431372549
Black Phoenix Studio,13,6.0,11923.076923076924,3.0,0.7070707070707071,0.0,1,454.3076923076923,63035000.0,4848846.153846154,9750000.0,0.07692307692307693,0.022531054236311854,0.29848787305482416,0.06282758118853439,0.14332232775009315,0.07659313725490197
Blaze Epic,14,5.615384615384615,14642.857142857143,1.0714285714285714,0.7108116106156015,0.0,2,141.85714285714286,26295000.0,1878214.2857142857,7425000.0,0.14285714285714285,0.04885243090901123,0.1567995709632985,0.08080161612582903,0.22716051499996484,0.07659313725490197
Blender Games,71,5.825396825396825,19436.61971830986,101.95774647887323,0.6847053860505453,4.31924882629108e-06,0,162.49295774647888,241500000.0,3401408.4507042253,69650000.0,0.0,0.08513145103864547,0.9978313144484187,0.4894577091993321,0.0,0.22303921568627452
Blessing Company,76,5.526315789473684,12500.0,4.131578947368421,0.5865446136568258,2.631578947368421e-06,20,131.92105263157896,113985000.0,1499802.6315789474,13710000.0,0.2631578947368421,0.02858406286464565,0.3521265617714708,0.5069488521081669,0.6295171572499421,0.1948529411764706
Blowfish Studios,20,6.235294117647059,29750.0,6.3,0.7458077742056448,5e-06,5,1599.0,1149415000.0,60495526.315789476,359850000.0,0.25,0.13966121569378614,0.42801615783930935,0.168459422013835,0.370482842750058,0.23529411764705882
Bohemia Interactive,34,6.096774193548387,810147.0588235294,4.382352941176471,0.6982486846056756,0.0007348319327731092,4,1066.6451612903227,69505865000.0,2242124677.419355,35992500000.0,0.11764705882352941,0.562977665251079,0.3623996482588117,0.30153980279160447,0.33278413942759594,0.9522058823529411
BokiBoki Games,19,6.470588235294118,10000.0,3.4210526315789473,0.8028253751722135,4.210526315789473e-05,15,1208.3157894736842,229580000.0,12083157.894736841,24500000.0,0.7894736842105263,0.0,0.32003719151884175,0.1557485999176193,0.5732893110003726,0.5551470588235294
