app_id,name,release_date,is_free,languages,type,price_final,price_initial,price_currency,price_final_formatted,price_discount_percent,price_initial_formatted,price_recurring_sub,price_recurring_sub_desc,full_audio_support,has_recurring_subscription,has_discount,language_count
3012850,Anubis,,False,"English, French, Italian, German, Spanish - Spain, Arabic, Simplified Chinese, Bulgarian, Danish, Indonesian, Dutch, Finnish, Traditional Chinese, Japanese, Korean, Polish, Hungarian, Norwegian, Portuguese - Portugal, Romanian, Russian, Thai, Turkish, Ukrainian, Vietnamese, Greek, Czech, Swedish",game,,,,,,,,,False,False,False,28
3012880,WorldShaper Idle Demo,2024-06-08,True,English,demo,,,,,,,,,False,False,False,1
3012910,Sea Fantasy / シーファンタジー Demo,2024-05-29,True,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean",demo,,,,,,,,,False,False,False,5
3012980,Crazy Chicken Kart 4,,False,"English, French, Italian, German, Spanish - Spain, Dutch, Polish, Russian",game,,,,,,,,,False,False,False,8
3012990,Project: ICARUS,,True,English,game,,,,,,,,,True,False,False,1
3013000,Project Prison Playtest,2024-06-06,False,,game,,,,,,,,,False,False,False,0
3013010,Arbor Island,2024-09-19,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,True,False,False,1
3013050,Exohub,,False,English,game,,,,,,,,,True,False,False,1
3013060,Camper Van: Make it Home Demo,2024-05-29,True,"English, French, German, Spanish - Spain",demo,,,,,,,,,True,False,False,4
3013070,Candle Wood,2024-06-27,False,English,game,399.0,399.0,EUR,"3,99€",0.0,,,,False,False,False,1
3013080,Arkham Mysteries: Chapter One,,False,"English, French, Italian, German, Spanish - Spain",game,,,,,,,,,False,False,False,5
3013130,Romanizer,,True,"English, French",game,,,,,,,,,False,False,False,2
3013140,once in hell,2024-06-18,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
3013160,Past the Moon; Towards the Sun,,False,English,game,,,,,,,,,False,False,False,1
3013180,Horny Holiday Demo,2024-06-14,True,"English, French, Italian, Spanish - Spain, Dutch, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish",demo,,,,,,,,,False,False,False,10
3013190,MIGLORN,,False,"English, German, Norwegian, Russian, Simplified Chinese",game,,,,,,,,,False,False,False,5
3013210,Pixel Playground,2024-06-04,False,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Simplified Chinese, Traditional Chinese, Korean, Danish, Spanish - Latin America, Finnish, Greek, Dutch, Hungarian, Indonesian, Japanese, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Swedish, Thai, Turkish, Ukrainian, Vietnamese, Arabic, Afrikaans, Albanian, Amharic, Armenian, Assamese, Azerbaijani, Bangla, Belarusian, Bosnian, Kannada, Catalan, Cherokee, Sinhala, Croatian, Dari, Scots, Slovak, Slovenian, Estonian, Basque, Filipino, Galician, Welsh, Georgian, Gujarati, Hausa, Hebrew, Hindi, Igbo, Irish, Icelandic, Khmer, Kazakh, Kyrgyz, Kinyarwanda, Konkani, Latvian, Lithuanian, Luxembourgish, Macedonian, Malayalam, Malay, Maltese, Maori, Marathi, Mongolian, Nepali, Odia, Persian, Punjabi (Gurmukhi), Punjabi (Shahmukhi), Quechua, K'iche', Serbian, Sotho, Tswana, Sindhi, Sorani, Swahili, Tamil, Tajik, Telugu, Tigrinya, Turkmen, Tatar, Uyghur, Urdu, Uzbek, Valencian, Wolof, Xhosa, Yoruba, Zulu",game,99.0,99.0,EUR,"0,99€",0.0,,,,True,False,False,103
3013240,Dungeon Online Playtest,2024-05-28,False,,game,,,,,,,,,False,False,False,0
3013260,Pro Strategy Football 2025,2024-09-03,False,English,game,2450.0,2450.0,EUR,"24,50€",0.0,,,,False,False,False,1
3013280,Table Top Creature Tracker,2024-06-28,False,English,game,199.0,199.0,EUR,"1,99€",0.0,,,,False,False,False,1
3013380,Homecoming,,False,"English, Spanish - Spain",game,,,,,,,,,True,False,False,2
3013390,Beneath the Mind,,False,"English, German",game,,,,,,,,,True,False,False,2
3013430,Security Guard Sex - Episode 3,2024-06-02,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
3013440,Spiritmorph,2024-06-17,False,English,game,1950.0,1950.0,EUR,"19,50€",0.0,,,,False,False,False,1
3013460,Judofuri,,False,"English, French",game,,,,,,,,,True,False,False,2
3013470,Bananametr,2024-06-22,True,English,game,,,,,,,,,False,False,False,1
