publisher_primary,game_count,review_score,avg_owners_mid,avg_language_count,avg_positive_review_ratio,avg_active_users_rate,recent_release_count,recent_release_ratio,avg_owners_mid_norm,avg_language_count_norm,game_count_norm,recent_release_count_norm,avg_active_users_rate_norm
Telltale Games,14,7.285714285714286,299642.85714285716,3.2857142857142856,0.849580707870848,4.889115646258503e-05,0,0.0,0.4355579078447189,0.31334296880047,0.08080161612582903,0.0,0.5798525798525799
Tensei Games,22,6.5,10000.0,1.3181818181818181,0.8527595473451087,9.090909090909091e-06,12,0.5454545454545454,0.0,0.18103195825343835,0.1921594055706405,0.53035563410288,0.30405405405405406
Tero Lunkka,96,5.4945054945054945,14843.75,1.125,0.6177330707287664,2.0833333333333334e-06,18,0.1875,0.05059795357004514,0.16229723525548487,0.5671044080806718,0.6088228593403998,0.18796068796068796
Thalamus Digital,12,6.7,21666.666666666668,2.25,0.8580146713387297,0.0,1,0.08333333333333333,0.0990454348443394,0.25378031736293966,0.04352095933159413,0.14332232775009315,0.07678132678132678
The Quantum Astrophysicists Guild,11,6.7272727272727275,66363.63636363637,15.545454545454545,0.833266030152899,2.2510822510822512e-05,1,0.09090909090909091,0.242443009089129,0.6041936338298316,0.022668219139849854,0.14332232775009315,0.44717444717444715
The Revills Games,10,7.4,16500.0,1.5,0.8144454866568642,4e-05,2,0.2,0.06414861256271082,0.19728975268717228,0.0,0.22716051499996484,0.5491400491400491
Thermite Games,10,6.75,265000.0,5.7,0.7985391067946082,0.00010977142857142857,6,0.6,0.4198183444009651,0.4095494043683039,0.0,0.4023566422499772,0.7432432432432432
Thunderful Publishing,21,7.333333333333333,98809.52380952382,10.333333333333334,0.8450350231429091,0.0005333424036281178,8,0.38095238095238093,0.2934353588290445,0.5227269385091766,0.18057882461709088,0.4543210299999297,0.9422604422604423
TigerQiuQiu,25,5.666666666666667,16600.0,1.04,0.5355631141345427,0.0,0,0.0,0.06492263869544729,0.15350770926450893,0.22409978394868502,0.0,0.07678132678132678
Tim Rachor,10,6.2,24000.0,1.0,0.7762947432684275,0.0,2,0.2,0.1121476679165179,0.14924393652741208,0.0,0.22716051499996484,0.07678132678132678
Tin Man Games,15,6.714285714285714,32000.0,1.4666666666666666,0.8010210599171869,8e-06,1,0.06666666666666667,0.14900090276972291,0.19439959537189927,0.09761520293164012,0.14332232775009315,0.2800982800982801
TinyHat Studios,19,7.166666666666667,10000.0,1.4736842105263157,0.7996224419738187,0.0009473684210526315,4,0.21052631578947367,0.0,0.19501128182622615,0.1557485999176193,0.33278413942759594,0.9631449631449631
Toge Productions,25,7.888888888888889,58200.0,6.48,0.8810294191121659,6.342857142857143e-05,2,0.08,0.22562723464233478,0.4332608593213796,0.22409978394868502,0.22716051499996484,0.6326781326781327
Tonguç Bodur,25,6.0,24800.0,1.28,0.7156209345273917,5.142857142857143e-06,4,0.16,0.11634815650657501,0.17745608861620973,0.22409978394868502,0.33278413942759594,0.2371007371007371
Top Hat Studios Inc,14,6.5,13571.42857142857,2.4285714285714284,0.86572153065929,3.775510204081633e-05,0,0.0,0.039118667661034175,0.26529715264070985,0.08080161612582903,0.0,0.5356265356265356
"Top Hat Studios, Inc.",13,7.384615384615385,28461.53846153846,3.4615384615384617,0.8507231410289828,0.0001868131868131868,6,0.46153846153846156,0.133989337039629,0.3219999533978418,0.06282758118853439,0.4023566422499772,0.8206388206388207
Toplitz Productions,19,5.588235294117647,142631.57894736843,8.68421052631579,0.6296409481339552,0.00037017042606516293,4,0.21052631578947367,0.3404599324016489,0.4888685788404032,0.1557485999176193,0.33278413942759594,0.9090909090909091
Topware Interactive,20,5.526315789473684,663000.0,6.45,0.685957109620422,1.712857142857143e-05,0,0.0,0.5372994955674819,0.4323955661791377,0.168459422013835,0.0,0.40171990171990174
Towndarktales,10,6.6,10000.0,7.1,0.7886697520441818,5e-05,4,0.4,0.0,0.4504065456818298,0.0,0.33278413942759594,0.5847665847665847
Tranquility games,16,6.125,46875.0,6.6875,0.7314504797146425,1.6785714285714285e-05,2,0.125,0.19790493754491048,0.43915244806583886,0.11340914000229768,0.22716051499996484,0.39803439803439805
Triority Interactive Novels,16,6.2,10000.0,1.1875,0.7121557265849021,0.0,1,0.0625,0.0,0.168538642902419,0.11340914000229768,0.14332232775009315,0.07678132678132678
Tripwire Interactive,15,7.461538461538462,1238000.0,5.2,0.8410021851568654,0.00026416507936507936,0,0.0,0.6173003865008111,0.3928500704771336,0.09761520293164012,0.0,0.8746928746928747
Twin Sails Interactive,25,6.56,139000.0,5.28,0.7361155290895635,0.0007968990476190477,7,0.28,0.3371559048156537,0.39561053760995646,0.22409978394868502,0.4299669832502795,0.957002457002457
UPCELL TELEKOMUNIKASYON LIMITED SIRKETI,16,5.0,10000.0,26.0,0.6158730158730159,6.25e-06,16,1.0,0.0,0.7096381285678697,0.11340914000229768,0.5858246890000082,0.2524570024570025
"USERJOY Technology Co., Ltd.",16,6.875,198437.5,2.1875,0.7842279740489255,0.0004152380952380952,1,0.0625,0.3827623500311974,0.24959934158402933,0.11340914000229768,0.14332232775009315,0.9213759213759214
Ubisoft,151,6.647887323943662,1208079.4701986755,9.927152317880795,0.7704864417519244,0.0009739134657836645,20,0.13245033112582782,0.6141661731241521,0.5148685332498137,0.6841221357507934,0.6295171572499421,0.9680589680589681
Uintani,10,5.4,10000.0,1.1,0.592998933433716,0.0,0,0.0,0.0,0.15974911691144308,0.0,0.0,0.07678132678132678
