publisher_primary,baseline_score,baseline_rank,min_score,max_score,mean_score,score_range,score_std,min_rank,max_rank,rank_range,mean_absolute_rank_change,top_5_frequency,top_10_frequency,top_20_frequency
Winged Cloud,0.5053913503619178,218.0,0.41860002354961046,0.5921826771742255,0.5053913503619178,0.173582653624615,0.03577201535557368,174.0,236.0,62.0,15.070588235294117,0.0,0.0,0.0
Atari,0.5044047699251815,219.0,0.4358162830202987,0.5729932568300643,0.5044047699251815,0.13717697380976562,0.02736706488951684,169.0,255.0,86.0,17.694117647058825,0.0,0.0,0.0
Kasedo Games,0.5037629078496878,220.0,0.4218007852623121,0.5857250304370634,0.5037629078496877,0.1639242451747513,0.034406327026110545,162.0,299.0,137.0,25.823529411764707,0.0,0.0,0.0
qureate,0.5031614711026833,221.0,0.3736635670816293,0.6326593751237372,0.5031614711026833,0.25899580804210787,0.052504678543058195,150.0,312.0,162.0,31.623529411764707,0.0,0.0,0.0
Chilla's Art,0.5027692369140478,222.0,0.399528514466967,0.6060099593611287,0.5027692369140478,0.20648144489416165,0.041641356446373595,171.0,265.0,94.0,21.24705882352941,0.0,0.0,0.0
Vaka Game Magazine,0.5002705523542439,223.0,0.39448641149373026,0.6060546932147576,0.500270552354244,0.21156828172102732,0.04369840154407626,163.0,262.0,99.0,17.705882352941178,0.0,0.0,0.0
indienova,0.49899117257180775,224.0,0.39976146443198657,0.598220880711629,0.49899117257180775,0.19845941627964248,0.04128447024935022,177.0,256.0,79.0,16.49411764705882,0.0,0.0,0.0
DSGame,0.497138492707105,225.0,0.4298456020195459,0.5644313833946641,0.49713849270710503,0.13458578137511823,0.027548611695916762,176.0,271.0,95.0,19.811764705882354,0.0,0.0,0.0
Adamvision Studios,0.496970755181781,226.0,0.4090763152239299,0.5848651951396321,0.49697075518178097,0.1757888799157022,0.04960186227004003,93.0,375.0,282.0,50.258823529411764,0.0,0.0,0.0
Spiderweb Software,0.49364558975671374,227.0,0.37714704691156564,0.6101441326018618,0.4936455897567137,0.2329970856902962,0.049222944758477695,146.0,302.0,156.0,30.458823529411763,0.0,0.0,0.0
致意,0.4935032539252012,228.0,0.39138487730343746,0.595621630546965,0.4935032539252012,0.20423675324352758,0.04524548022941373,155.0,295.0,140.0,28.847058823529412,0.0,0.0,0.0
Cotton Game,0.4931349060089788,229.0,0.40108422548291955,0.5851855865350379,0.4931349060089788,0.18410136105211838,0.037212229589568005,206.0,254.0,48.0,8.670588235294117,0.0,0.0,0.0
PID Games,0.49166490522350625,230.0,0.4230702917927913,0.5602595186542212,0.49166490522350625,0.13718922686142987,0.03261033829265607,160.0,283.0,123.0,29.023529411764706,0.0,0.0,0.0
Nival,0.49051874165369636,231.0,0.391564586207545,0.589472897099848,0.49051874165369647,0.19790831089230299,0.04556528717382396,142.0,402.0,260.0,44.15294117647059,0.0,0.0,0.0
Whitethorn Games,0.49014065322552547,232.0,0.4050444334133268,0.5752368730377242,0.49014065322552547,0.1701924396243974,0.03442860985584081,204.0,260.0,56.0,11.376470588235295,0.0,0.0,0.0
HandyGames,0.4900523943990549,233.0,0.40122912968367697,0.578875659114433,0.49005239439905496,0.17764652943075598,0.03564504297160882,200.0,316.0,116.0,18.564705882352943,0.0,0.0,0.0
