scenario_id,scale_reach_weight,quality_weight,engagement_weight,momentum_weight,weight_distance_from_baseline,publisher_primary,overall_score,rank,baseline_rank,rank_change,absolute_rank_change
S081,0.45,0.3,0.2,0.05,0.14142135623730953,LunarCore Games,0.2502111145565214,712.0,707.0,5.0,5.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,M.INDIE,0.2747548664714415,675.0,706.0,-31.0,31.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,M9 Games,0.316524078814043,587.0,603.0,-16.0,16.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MACKINN7,0.3926957342475116,416.0,406.0,10.0,10.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MAGIC Spell Studios,0.30734639230189925,607.0,565.0,42.0,42.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MAGIX Software GmbH,0.3946662180508586,411.0,431.0,-20.0,20.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MB Game Studio,0.2845299657268036,658.0,580.0,78.0,78.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MCG,0.15617661403266073,780.0,775.0,5.0,5.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MCGame,0.19120611471773527,766.0,739.0,27.0,27.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MDickie,0.5416732472644795,139.0,86.0,53.0,53.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MIROWIN,0.43650625124901293,326.0,333.0,-7.0,7.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MIRROR Soft,0.3173001125725129,586.0,590.0,-4.0,4.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MagicHouse,0.25824693854779557,700.0,646.0,54.0,54.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Male Doll,0.2982604282080121,631.0,592.0,39.0,39.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,MangaGamer,0.510076440755719,196.0,183.0,13.0,13.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Mango Party,0.5208316877377286,175.0,71.0,104.0,104.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Marginal act,0.2577531114656101,702.0,697.0,5.0,5.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Markt+Technik Verlag GmbH,0.3811406793700037,447.0,316.0,131.0,131.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Matthew Brown,0.567494479689761,111.0,123.0,-12.0,12.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Mature Games,0.3548312940292237,511.0,574.0,-63.0,63.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Maximum Entertainment,0.5617883053937142,114.0,74.0,40.0,40.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,"Mediascape Co., Ltd.",0.5247485840786933,168.0,157.0,11.0,11.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Meng Games,0.2725377855594011,680.0,657.0,23.0,23.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,Mens Sana Interactive,0.4230476283883529,353.0,363.0,-10.0,10.0
