rank,publisher_primary,game_count,scale_reach_score,quality_score,engagement_score,momentum_score,overall_score
469,BufoProject,11,0.0682960636019205,0.6390758030461096,0.7027027027027027,0.199955115090895,0.38616017097867983
470,ChaniMK,11,0.0298487873054824,0.8373180539847207,0.304054054054054,0.42092040982729584,0.38559136403724015
471,Plug In Digital,132,0.20273966575018426,0.6171662217540885,0.5036855036855037,0.1882153841727181,0.3850781579017995
472,Ultimate Games S.A.,42,0.2843336828643999,0.6473811316207135,0.4533169533169533,0.0,0.38439451915214473
473,Zoo Corporation,42,0.14011238269622261,0.6735393028502498,0.4619164619164619,0.2719867933001118,0.38428243617706204
474,"CyberStep, Inc.",54,0.23951881205856485,0.38155487110890085,0.3538083538083538,0.7646913495555696,0.38376341874817416
475,Russpuppy,12,0.16643641795001402,0.72705134524444,0.3931203931203931,0.19086420599998588,0.3836218593799134
476,Kawaii Hentai,10,0.10246967517613947,0.8837608406465645,0.0767813267813267,0.4481931371000232,0.383577874426887
477,SMU Guildhall,16,0.27402933509546445,0.849985015990603,0.1572481572481572,0.0,0.3823554035302249
478,XSGames,14,0.1223524229324518,0.4561642061642061,0.3894348894348894,0.8239778617710243,0.3811562670282515
479,HugePixel,26,0.08167589871457237,0.673660890952084,0.4250614250614251,0.4290947476793787,0.3800613289999174
480,Tensei Games,22,0.03620639165068766,0.7504538477466285,0.304054054054054,0.5394149809138793,0.3795314493496219
481,Choice of Games,286,0.042783312216464184,0.6743899966560201,0.5909090909090909,0.2876316578312528,0.3786177251290746
482,2Awesome Studio,12,0.1423314179685282,0.7015914698033471,0.4484029484029484,0.19086420599998588,0.37860365781057653
483,Phoenix Online Publishing,22,0.21769516551359025,0.6895984951597276,0.4766584766584766,0.0,0.37840455180937016
484,Wolverine Studios,32,0.0298487873054824,0.47965376027309714,0.8906633906633906,0.3032367933001118,0.37796140076654283
485,Dnovel,36,0.24419239235024376,0.6994660030694324,0.2555282555282555,0.19978032243770505,0.37637983771472194
486,Nami Tentou,11,0.09674016141743456,0.8125556156806157,0.0767813267813267,0.5538049751182936,0.3760527528242962
487,Screen 7,15,0.26759347569664255,0.668441616920532,0.4029484029484029,0.0,0.37477988215966507
488,LGV,37,0.1399069966633666,0.6735895086489314,0.0767813267813267,0.7134383569379033,0.37341632032380856
489,UPCELL TELEKOMUNIKASYON LIMITED SIRKETI,16,0.14192762571357395,0.4931216931216931,0.2524570024570025,0.8343298756000033,0.37325205876765977
490,Absolutist Ltd.,11,0.30006352593466723,0.5660736301189129,0.4901719901719901,0.0,0.3728787211472054
491,Ertal Games,11,0.04023387598789598,0.7416831433726578,0.5313267813267813,0.199955115090895,0.37284542313655145
492,7DOTS,11,0.15766208797527562,0.8338926311938447,0.3366093366093366,0.0,0.37267138747136724
493,Ironcode Gaming,16,0.059407880925150626,0.599056731213594,0.5343980343980343,0.4344867933001118,0.3725624035625046
494,橙光游戏,47,0.15942344594796792,0.7097518918240286,0.2027027027027027,0.42080508610227674,0.37238507708487945
495,Zerouno Games,11,0.11684152777359297,0.7627660494658072,0.304054054054054,0.27829422583643815,0.3722792942467762
496,Noxurtica,19,0.0298487873054824,0.7596599751011515,0.3402948402948403,0.43435999094734024,0.3715580347883334
497,Pirates Of The Digital Sea,14,0.10006854940113918,0.540033681591835,0.558968058968059,0.41808551404284794,0.37154053566798817
498,Satur Entertainment,11,0.17017960299603158,0.6367102543400744,0.4508599508599508,0.199955115090895,0.37074119478625783
499,NSFW18 Games,11,0.0737654787710322,0.6639527249045956,0.4127764127764127,0.42092040982729584,0.3706970790706169
500,Loolust,25,0.08778845671825207,0.8050569723728359,0.3519656019656019,0.18665786220007452,0.3706348512863705
501,DigiMight,25,0.10322160670900937,0.743081206325151,0.3857493857493858,0.22911365577103837,0.37056884976123144
502,Rocky Studio,15,0.07569810361472185,0.7027777777777777,0.0767813267813267,0.7839778617710242,0.3702806142204049
503,Reverb Triple XP,11,0.25298003201161307,0.658854663636302,0.4127764127764127,0.0,0.3687546928502377
504,Notus Games Ltd,11,0.07515471851931377,0.7542460950355687,0.5743243243243243,0.0,0.3674428448572953
505,DNA ARMY GAMING,11,0.20503781524195022,0.44687758703865266,0.5982800982800983,0.27829422583643815,0.36722666497776374
506,Art Games Studio S.A.,15,0.16243040865829356,0.6096116978408143,0.5073710073710074,0.17086420599998592,0.36683798475684637
507,Akella,13,0.25730176883136996,0.5469376485357986,0.5577395577395577,0.0,0.36568482519963064
508,Vidas Salavejus,23,0.17935404644704933,0.7267202976074776,0.0767813267813267,0.45919508212753923,0.36502553321410675
509,SVGames,15,0.055825293303424464,0.6555448650913253,0.5233415233415234,0.2931136557710383,0.36483766521755656
510,Phr00t's Software,15,0.12651989919888157,0.7713563474347007,0.3169533169533169,0.17086420599998592,0.36470916324068003
511,ROSEVERTE,21,0.12432891267397596,0.723709850820148,0.4557739557739558,0.08590035967146581,0.364667919787447
512,Crazysoft Limited,11,0.10031423265189127,0.6452802752802753,0.5933660933660934,0.11187438564549178,0.36414844053228695
513,Entropy Digital Entertainment,13,0.0298487873054824,0.4861650338305916,0.6253071253071253,0.5509591812307412,0.3640018879521326
514,Top Hat Studios Inc,14,0.08435436465696924,0.7569348394037191,0.5356265356265356,0.0,0.3637297865763621
515,Digital Tribe,32,0.22883161342548508,0.6165940516313173,0.4361179361179361,0.07607893110003724,0.36370470707690783
516,Breda University of Applied Sciences,15,0.24977361801168668,0.8026030305323891,0.1769041769041769,0.0,0.36358251084464244
517,KuKo,37,0.2519846999115007,0.6761382375947751,0.2383292383292383,0.16330651084872314,0.3631979405406139
518,Blowfish Studios,20,0.19733220412289076,0.6724681572553278,0.2358722358722358,0.2981931371000232,0.3627101363590607
519,Rainbow Games,10,0.2216567721411552,0.6034859820149745,0.5184275184275184,0.0,0.3623111685394004
520,Viva Media,28,0.21766140473253076,0.5545392635207226,0.5958230958230958,0.0,0.3617078898772217
521,Rockin' Android,10,0.18972180580946812,0.7368007779887158,0.3697788697788697,0.0,0.36139863938570255
522,КиКо,15,0.2823150722167082,0.6267952252785552,0.3722358722358722,0.0,0.3612960173065889
523,Stardock,10,0.0978438695127662,0.49952149928476824,0.5491400491400491,0.4481931371000232,0.36115878450791195
524,Self Published,10,0.26173265561861625,0.696656993652768,0.2088452088452088,0.11732893110003724,0.3599719089963935
525,b-alive gmbh,16,0.227222580391378,0.5261568999026843,0.6117936117936118,0.0,0.35973369546650996
526,Abyssal Studios,11,0.07934445495094256,0.8462385222291632,0.304054054054054,0.11187438564549178,0.3592340845592134
527,Interplay Inc.,11,0.19793508472789362,0.6303669798646143,0.4987714987714988,0.0,0.3581416733684468
528,Azurezero,12,0.0298487873054824,0.7258280024069498,0.3931203931203931,0.33311365577103835,0.3567866032687381
529,Self,12,0.07765495701843214,0.7809812829621197,0.3931203931203931,0.10732893110003722,0.3561970381341713
530,NanningsGames,37,0.20623264535380298,0.699291423292364,0.1971744471744471,0.22927421818110427,0.35579487502359536
531,First Games Interactive,10,0.23243075456636464,0.6387956823960454,0.3255528255528255,0.11732893110003724,0.35569937359261194
532,Sedoc LLC,10,0.1861562063599174,0.6506739039060754,0.4754299754299754,0.0,0.35544283848378877
533,derevotyan,11,0.08160287791467452,0.7648287139789602,0.4858722358722359,0.0,0.3551840686382713
534,Archor Games,73,0.06807114041053865,0.5840728782549589,0.2407862407862407,0.7164058617451872,0.3546648900392024
535,Games For Pleasure,10,0.13464674287164125,0.47628722014421204,0.4324324324324324,0.5209426568999909,0.35464041106982314
536,Hunted Cow Games,44,0.19434509134939185,0.5889956592532853,0.4963144963144963,0.07096529473640087,0.3546271732216321
537,Remix Games,11,0.06520242440875071,0.8418599556021817,0.304054054054054,0.11187438564549178,0.3529708038813518
538,khukhrovr,43,0.3025802625121254,0.6044565261386752,0.269041769041769,0.07128241947213022,0.3517407664500198
539,Playstige Interactive,13,0.13447675713469998,0.542024494108232,0.3814496314496314,0.43786573382306776,0.351643999593001
540,T-Bull,11,0.2625358733089557,0.5838606577497287,0.4226044226044226,0.0,0.35156663750393763
541,Degica,14,0.06204553683207295,0.5979700854700853,0.6726044226044227,0.10018607395718007,0.35065575914671265
542,Rubika Supinfogame,12,0.13349282088711617,0.739240231779509,0.1597051597051597,0.33311365577103835,0.35040263715103104
543,KISS ltd,36,0.3169613762702591,0.45703368340095696,0.5110565110565111,0.0,0.35025788892618
544,ZaxtorGameS,17,0.043908796657830484,0.7467206294587247,0.347051597051597,0.27429012635927363,0.34993810603206854
545,Aldorlea Games,55,0.21693403695880661,0.6510320862011956,0.2039312039312039,0.2483504296637481,0.34927534403174393
546,Tin Man Games,15,0.15808064129015817,0.7444258738739373,0.2800982800982801,0.09732893110003721,0.3492749822983982
547,Nyu Media,10,0.1357405684671729,0.6376679506177065,0.5491400491400491,0.0,0.3486375939768323
548,Alternative Software Ltd,22,0.10922377683623406,0.5467158098534927,0.6658476658476659,0.08460165837276448,0.3481028467741775
549,SA Industry,118,0.3290790119385162,0.5346692356905871,0.3157248157248157,0.06241367686274908,0.3480854395600323
550,8floor,268,0.07387730180250494,0.5461972547271273,0.484029484029484,0.40925203582664044,0.34790993422890776
551,Seven Sails Games,33,0.06132938557708036,0.546932664509242,0.2506142506142506,0.7453198907272305,0.3474659180366854
552,Astrea,13,0.10202064726931981,0.7683479748381077,0.0767813267813267,0.43786573382306776,0.3472477444254197
553,Amaterasu Software,13,0.4181157449418387,0.5178851612542035,0.2211302211302211,0.0,0.34593210333194874
554,SilentFuture,12,0.23749273096401824,0.6309993406382212,0.2868550368550369,0.10732893110003722,0.34589260506488567
555,AFBIK Studio,21,0.21612903774682835,0.6094339197052618,0.4287469287469287,0.0,0.3442247248723542
556,JoyBits Ltd.,22,0.28621324315046504,0.535483628940935,0.4066339066339066,0.0,0.34214650511172456
557,SAT-BOX,44,0.050756063472587924,0.5901844448718971,0.2285012285012285,0.676761338325607,0.3420344021260617
558,IndieGala,11,0.29249641979112917,0.6388044146937177,0.156019656019656,0.11187438564549178,0.34200016038576553
559,MoonlightGames,15,0.11879502603492861,0.5662329578295964,0.4324324324324324,0.2931136557710383,0.3419016813132461
560,CggtGroup,12,0.1258406187219241,0.6484749394804763,0.0767813267813267,0.5817284119999718,0.34120222555307744
561,Orangepixel,15,0.13352226746369678,0.6372313541380841,0.3882063882063882,0.17086420599998592,0.34117310839499465
562,Sometimes You,49,0.376657586823378,0.515581582218458,0.2162162162162162,0.0695738290592209,0.34018394765584603
563,Renegade Sector Games,17,0.07597231200830189,0.7983845631451438,0.2481572481572481,0.16145244129410358,0.33995499397201395
564,Focus Home Interactive,11,0.18297376727474138,0.41370249037890805,0.7567567567567568,0.0,0.33950291701118324
565,MAGIC Spell Studios,12,0.08304991130367542,0.6423108932974558,0.2868550368550369,0.39819313710002324,0.338860714881534
566,Rabotiagi games,11,0.1855852927369936,0.7822990975375631,0.1904176904176904,0.0,0.33772811980275474
567,Wainstop James,15,0.06836101254097936,0.7879555713341945,0.2585995085995086,0.17086420599998592,0.33766255840950066
568,RunServer,22,0.20876776167100325,0.5693058039045381,0.4668304668304668,0.0,0.33722655112230593
569,Gamera Interactive,21,0.13270536849301162,0.6499898772471995,0.2604422604422604,0.29105027995716604,0.3371898362287409
570,Kiddy,23,0.2863778122569458,0.5648358495767316,0.2297297297297297,0.14303811904346417,0.33708465296541607
571,lightUP,20,0.057488746994967505,0.8138471233004441,0.0767813267813267,0.38198679330011176,0.3369294827896539
572,Frosted Wings Studio,11,0.08824102199749737,0.7247092222989717,0.0767813267813267,0.4882153841727181,0.3368856973709886
